id	album_year	description	setting	light	people	framing	consent	quality_note	shared
a3-038	a3/2016	Two young men (late teens) each raise a hand, focused on something off-camera	forest	day	young-men	medium	AMBER		
a3-039	a3/2016	Profile: teen with three blue paint strokes across cheek and forehead, stoic	forest	day	young-men	close	AMBER	strong portrait	
a3-040	a3/2016	Two men sit before a canvas tent with a wooden MESS HALL sign; green sweater, red bandana	camp	day	adults	medium	GREEN		
a3-041	a3/2016	River view: green dome tent and white tarp on the far pebble shore, figures at the water	water	day	unclear	wide	GREEN	vintage look	
a3-042	a3/2016	Young men wade in the shallow green river, some shirtless; stones and driftwood foreground	water	day	young-men	medium	AMBER	verify	
a3-043	a3/2016	Teen in grey hoodie and camo pants plays a dark wooden flute on a log	forest	day	young-men	medium	AMBER		
a3-044	a3/2016	Nine teens waist-deep in the river posing, some flexing; mountain behind	water	day	young-men	medium	AMBER		
a3-045	a3/2016	Shirtless blond teen in the water about to throw a water-polo ball, white cheek mark	water	day	young-men	medium	AMBER		
a3-046	a3/2016	Long-haired young man swimming, yellow ribbon, big joyful smile at camera	water	day	young-men	close	AMBER		
a3-047	a3/2016	Man ladles boiled potatoes from a huge pot; young man in a hat waits with a plate; checkered cloth	kitchen	day	mixed	medium	AMBER	verify the young man's face	
a3-048	a3/2016	Profile: older man, grey goatee, turquoise and wood beads, contemplative	forest	day	adults	close	GREEN		
a3-049	a3/2016	Man 40s-50s in skull cap and clear glasses, broad smile to lens; blue tent behind	camp	day	adults	close	GREEN		
a3-050	a3/2016	Six men waist-deep in a calm clear lake, sky reflected, mountains	water	day	adults	wide	GREEN		
a3-051	a3/2016	Shirtless young man (late teens) with a striped towel over his shoulder in the forest	forest	day	young-men	medium	AMBER		
a3-052	a3/2016	Same young man, slightly different angle, looking off-camera	forest	day	young-men	medium	AMBER	near-duplicate of a3-051	
a3-053	a3/2016	Shirtless young man in camo pants gives a thumbs-up and smiles at camera; camp behind	camp	day	young-men	medium	AMBER		
a3-054	a3/2016	Child in the lake looks back joyfully; back of a shirtless man's head foreground	water	day	mixed	close	AMBER	child looks under 12	
a3-055	a3/2016	Man in a blue life vest and white cap paddles a yellow kayak, side view, overcast	water	day	adults	medium	GREEN		
a3-056	a3/2016	Single yellow kayak tiny on a massive lake, mountains lost in low cloud	water	day	unclear	wide	GREEN		
a3-057	a3/2016	A head bursts from the water in a chaotic white spray that hides the face	water	day	unclear	close	GREEN	face obscured by spray	
a3-058	a3/2016	Young man with a mohawk in a yellow kayak looks down at the water, golden light	water	day	young-men	medium	AMBER		
a3-059	a3/2016	White-bearded shirtless man in his 60s smiles warmly, backlit glowing maple leaves	forest	day	adults	close	GREEN		
a3-060	a3/2016	Child with long blonde hair lies prone on a floating log, mischievous grin	water	day	young-men	medium	AMBER	child looks under 12	
a3-061	a3/2016	Two men sit on the ground; one in a leather cowboy hat and Belmont Bulldogs tee gestures as he talks	camp	day	adults	medium	GREEN		
a3-062	a3/2016	Two men pose smiling: white tee; cowboy hat with white cloth at the neck	forest	day	adults	close	GREEN		
a3-063	a3/2016	Man (bald, glasses, yellow gaiter), young man ~12 in a TNT hoodie, young man in white v-neck on a log	forest	day	mixed	medium	AMBER		
a3-064	a3/2016	Three older men candid: tan sun hat; white beard, cowboy hat, tattooed forearms; long grey hair leaning on a staff	forest	day	adults	medium	GREEN		
a3-065	a3/2016	Four teens in a row on a log: blue tee, striped hoodie, sunglasses, Adidas tee	forest	day	young-men	medium	AMBER		
a3-066	a3/2016	Profile: young man ~13 in a grey hood holds a small black device, intent	forest	day	young-men	close	AMBER		
a3-067	a3/2016	Young man rests his chin on his hand, thoughtful; person behind with an orange bandana over the eyes	forest	day	young-men	close	AMBER		
a3-068	a3/2016	Wide dirt clearing; bearded young man in a cap in profile foreground; a long line seated on a log watching	camp	day	mixed	wide	GREEN	verify the foreground profile	
a3-069	a3/2016	Group photo of ~10 young men on a rocky shore, bright lake and mountains	beach	day	young-men	wide	AMBER	group photo	
a3-070	a3/2016	Similar group of ~12 on the shore, arms up in V signs, cheering	beach	day	young-men	wide	AMBER	group photo	
a3-071	a3/2016	Young men and men run left to right across a sunlit dirt clearing	field	day	mixed	wide	GREEN		
a3-072	a3/2016	Young man in a red 19 shirt runs through a crowd clutching a white ball; interceptor in a gaiter	field	day	mixed	medium	AMBER		
a3-073	a3/2016	Young man in a teal tee runs at camera with the ball, yelling with joy	field	day	young-men	medium	AMBER		
a3-074	a3/2016	Scrum for the white ball in the middle of the clearing; lake between the trees	field	day	mixed	wide	GREEN		
a3-075	a3/2016	Closer on the scrum; man in grey protects the ball, lens flare	field	day	mixed	medium	AMBER	verify	
a3-076	a3/2016	Man in grey throws the ball high; everyone looks up	field	day	mixed	wide	GREEN		
a3-077	a3/2016	Large group of males of all ages in a dusty clearing, trees and water behind	field	day	mixed	wide	GREEN	verify faces at distance	
a3-078	a3/2016	Young men huddle grasping a man in a light tee in the tackle game; man in black watches	field	day	mixed	medium	AMBER	verify	
a3-079	a3/2016	Men reach for a giant purple exercise ball in the air; young man foreground with back to camera; truck, checkered table	field	day	mixed	wide	GREEN		
a3-080	a3/2016	Curly-haired teen in black long-sleeve and red shorts runs with the rugby ball; another alongside	field	day	young-men	medium	AMBER		
a3-081	a3/2016	Friendly scrum around a man in grey; young man in a red tee behind	field	day	mixed	medium	AMBER	verify	
a3-082	a3/2016	Young man in a white tee hit by a spray of water; man in black foreground turned away	field	day	mixed	medium	AMBER	verify	
a3-083	a3/2016	~11 young men and men sit side by side on a very long log, posed	forest	day	mixed	medium	AMBER	group photo	
a3-084	a3/2016	Man flanked by two teens, arms around each other, in front of the yellow school bus	bus-road	day	mixed	medium	AMBER		
a4-000	a4/2015	Tight circle of young men and men in the woods, focused on a man in black speaking	forest	day	mixed	wide	GREEN	circle: confirm not a ceremony	
a4-001	a4/2015	Long line of men in a loose semi-circle, low golden sun flare, looking right	forest	day	adults	wide	GREEN	circle: confirm not a ceremony	
a4-002	a4/2015	Three men clown with a yellow LATRINE sign in a dirt car park	bus-road	day	adults	medium	GREEN	joke frame	
a4-003	a4/2015	Silhouettes from behind: a small group on a rocky beach looking at huge forested mountains	beach	dusk	unclear	wide	GREEN	late afternoon; serene	
a4-004	a4/2015	Two men on a driftwood log by the water; one in a white hat with tattoos talks	beach	day	adults	medium	GREEN		
a4-005	a4/2015	Bearded man in grey cap and camo shorts smiles broadly on the rocky beach, pilings behind	beach	day	adults	medium	GREEN		
a4-006	a4/2015	Two men in martial-arts stances on the pebble beach, fists raised; calm water	beach	day	adults	wide	GREEN		
a4-007	a4/2015	Young woman in a blue hoodie hikes through mossy woods with mat, pillow and duffel	forest	day	mixed	medium	FLAG	woman	
a4-008	a4/2015	Man in orange tee and blue hat talks with a man in camo pants and a large red pack on the path	forest	day	adults	medium	GREEN		
a4-009	a4/2015	Man in black tee and backwards cap crouches in dark forest holding stones, intense	forest	day	adults	medium	GREEN		
a4-010	a4/2015	Profile: older man, grey hair, blue button-down, holds a leaf sprig; soft mossy background	forest	day	adults	close	GREEN		
a4-011	a4/2015	Detail: tree trunk with brown moss and white fungi arranged like a face	forest	day	none	detail	GREEN		
a4-012	a4/2015	Teen hiker in a grey cap with a red backpack on a fern-lined trail	forest	day	young-men	medium	AMBER	verify direction	
a4-013	a4/2015	Man in a grey tank top slumped on a mossy log, head in hand, exhausted; gear	forest	day	adults	medium	GREEN	honest fatigue frame	
a4-014	a4/2015	Man in his 20s carries a blue mat through tall ferns, looks back smiling	forest	day	adults	medium	GREEN		
a4-015	a4/2015	Man in a straw hat and grey tank stands arms crossed before a fern wall, gaze down	forest	day	adults	medium	GREEN		
a4-016	a4/2015	Young man with long hair walks a mossy path under an oversized black backpack, framed by big trees	forest	day	young-men	medium	AMBER	verify direction; looks under 12	
a4-017	a4/2015	Young man in a purple shirt carries black gear on the trail; man in blue behind	forest	day	mixed	medium	AMBER		
a4-018	a4/2015	Young man in a grey hoodie walks toward camera with bags; a man watches from the side	forest	day	mixed	medium	AMBER		
a4-019	a4/2015	Young man in blue flannel walks forward holding a red bottle, blue backpack; man behind	forest	day	mixed	medium	AMBER	looks under 12	
a4-020	a4/2015	From behind: yellow kayak with a red-vested paddler crossing a calm lake toward dark forest	water	day	unclear	wide	GREEN	back to camera	
a4-021	a4/2015	Man ~50 in a tan bucket hat leans on a pipe railing, neutral; camp gear blurred	camp	day	adults	medium	GREEN		
a4-022	a4/2015	Four young men (10-15) sit on a weathered log in a dirt clearing	camp	day	young-men	medium	AMBER		
a4-023	a4/2015	Dark green kitchen truck with a white THANK YOU sign; people climbing on the back	camp	day	unclear	wide	GREEN		
a4-024	a4/2015	Adults and young men talk in a wooded clearing, partly hidden by branches; big logs	forest	day	mixed	wide	GREEN	verify	
a4-025	a4/2015	Two men walk past: older Black man in a striped shirt and red scarf; man in denim jacket and cap	forest	day	adults	close	GREEN		
a4-026	a4/2015	Bald man in his 60s with glasses walks toward camera smiling; tent frame going up behind	camp	day	adults	medium	GREEN		
a4-027	a4/2015	Man in his 40s in a yellow kayak with paddle smiles at camera	water	day	adults	close	GREEN		
a4-028	a4/2015	Man with back to camera (white shirt, yellow bandana) addresses a semi-circle of young men on a sandy shore	beach	day	mixed	medium	AMBER	young men face camera; verify	
a4-029	a4/2015	Two men in folding chairs: orange neckerchief; camo pants with a blue bottle; checkered cloth	camp	day	adults	medium	GREEN		
a4-030	a4/2015	Young man in a grey hoodie climbs a tall wooden A-frame, low angle	forest	day	young-men	medium	AMBER	verify	
a4-031	a4/2015	High angle on the same young man tying a thick white rope on a beam	forest	day	young-men	close	GREEN	hands and top of head; verify	
a4-032	a4/2015	Vertical: young man in red reaches the top of a plywood climbing wall; spotters below	forest	day	mixed	medium	GREEN	vertical; likely from behind; verify	
a4-033	a4/2015	Vertical high angle: five children crawl on hands and knees up a steep mossy fern hill	forest	day	young-men	wide	GREEN	vertical; from behind and above	
a4-034	a4/2015	Low angle up a steep hill: five youths crawl upward through moss and ferns	forest	day	young-men	medium	GREEN	verify faces (likely down)	
a4-035	a4/2015	High angle: five teens and two men around a tall wooden frame with a black panel; man with a camera	forest	day	mixed	medium	GREEN	verify	
a4-036	a4/2015	Seven young men (10-15) in a line on a dirt trail; one with yellow face paint	forest	day	young-men	medium	AMBER		
a4-037	a4/2015	High angle: a line of children crawls through a narrow dirt trench while adults watch from the banks	forest	day	mixed	wide	GREEN		
a4-038	a4/2015	Six young men in a circle on a path in discussion; one in red faces away	forest	day	young-men	medium	AMBER	verify	
a4-039	a4/2015	Low angle from behind: five young men walk away down a trail, one in tie-dye with arms outstretched	forest	day	young-men	medium	GREEN	backs	
a4-040	a4/2015	Adults and teens assemble a dome of thin wooden poles in a clearing	camp	day	mixed	wide	GREEN		
a4-041	a4/2015	Wide: ~20 gathered in a mossy glen listening to a central figure; massive trunks	forest	day	mixed	wide	GREEN	circle: confirm not a ceremony	
a4-042	a4/2015	Tracking: young man with a yellow headband and tie-dye walks toward camera, others follow	forest	day	young-men	medium	AMBER		
a4-043	a4/2015	Teens sit and stand in a circle around a man in a red jacket and hat who gestures	forest	day	mixed	wide	GREEN	circle: confirm not a ceremony	
a4-044	a4/2015	Six youths in a line practise striking motions in unison; ferns foreground	forest	day	young-men	medium	AMBER	verify (side view)	
a4-045	a4/2015	Panning: young men and men sprint left along the rocky beach; blue lake, misty mountains	beach	day	mixed	wide	GREEN		
a4-046	a4/2015	Group on the shore holds long grey padded poles; young man in grey hoodie and teal cap centre; older man on a log	beach	day	mixed	medium	AMBER		
a4-047	a4/2015	Same young man in the teal cap looks at camera holding a padded pole; two older men look on	beach	day	mixed	close	AMBER		
a4-048	a4/2015	Rocky shore, ~15 gathered by the forest edge, yellow kayak on a grey lake, misty mountains	beach	day	mixed	wide	GREEN		
a4-049	a4/2015	Two men on a log in a rustic log shelter face an audience seen from behind; pamphlet	camp	day	mixed	medium	GREEN	audience backs; circle: confirm not a ceremony	
a4-050	a4/2015	High angle over a dry-grass clearing; group clustered left by equipment and a white flag; water beyond	field	day	unclear	wide	GREEN		
a4-051	a4/2015	Young men listen to a man in black at the centre; blue and yellow ribbons on shoulders and heads	forest	day	mixed	medium	AMBER	circle: confirm not a ceremony	
a4-052	a4/2015	Bearded man in plaid stands arms crossed atop a massive mossy stump with saplings growing from it	forest	day	adults	medium	GREEN		
a4-053	a4/2015	Person in dark plaid hidden by ferns holds a long blue ribbon overhead	forest	day	unclear	medium	GREEN		
a4-054	a4/2015	Five young men walk a path through old growth and ferns, coloured tees	forest	day	young-men	medium	AMBER	verify direction	
a4-055	a4/2015	Young man in a blue headband crouches athletically mid-game; others have ribbons at their waists	forest	day	young-men	medium	AMBER	verify	
a4-056	a4/2015	Three young men between big trunks; one looks down at branches, one in a cap	forest	day	young-men	medium	AMBER	verify	
a4-057	a4/2015	Young men climb over mossy fallen logs through thick ferns	forest	day	young-men	medium	GREEN	verify faces	
a4-058	a4/2015	From behind: young man in blue tee and camo hat runs the trail, ribbon at his waist; another watches	forest	day	young-men	medium	GREEN	back	
a4-059	a4/2015	Young man crouches low among tall ferns; others move through the trees behind	forest	day	young-men	medium	GREEN	verify face	
a4-060	a4/2015	Seven young men and one adult sit on a long log, tired but content; yellow ear muffs	camp	day	mixed	medium	AMBER		
a4-061	a4/2015	Wide: ~25 in a circle in a clearing, some on logs; man in white addresses them	forest	day	mixed	wide	GREEN	circle: confirm not a ceremony	
a4-062	a4/2015	~20 males of all ages clustered in a clearing under towering evergreens	forest	day	mixed	medium	GREEN	verify faces at distance	
a4-063	a4/2015	Line of ~10 young men do push-ups in unison on gravel; white trailer and blue canopies behind	camp	day	young-men	wide	GREEN	faces down	
a4-064	a4/2015	Extreme wide: open gravel clearing ringed by evergreens, grey sky, small group by a structure	camp	day	unclear	wide	GREEN		
a4-065	a4/2015	Dirt path through mossy trees and ferns; 6-8 people in purple and blue jackets gathered	forest	day	unclear	wide	GREEN		
a4-066	a4/2015	Two men in red shirts stand before a rounded structure covered in black plastic; debarked log	camp	day	adults	medium	GREEN	structure looks like a sweat lodge; confirm	
a4-067	a4/2015	Shirtless young man in camo pants and orange bandana at the entrance of the black tarp mound; others crouch to enter	camp	day	young-men	medium	CEREMONY	young men entering a lodge-like structure	
a4-068	a4/2015	~30-40 males seated on a huge log ring in a gravel clearing; Canadian flag on a pole; forested hills	camp	day	mixed	wide	GREEN	circle: confirm not a ceremony	
a4-069	a4/2015	Shirtless young man in orange bandana holds a metal pipe like a bat, wide joyful smile; misty lake	beach	day	young-men	close	AMBER	verify age (may be an adult)	
a4-070	a4/2015	A dozen young men sit side by side on a log; white trailer behind; dappled light	camp	day	young-men	medium	AMBER		
a4-071	a4/2015	Line of men in boxing stances, fists up; man in a brown hat with a blue ribbon foreground	camp	day	adults	medium	GREEN		
a4-072	a4/2015	Shirtless young man in orange bandana leads a group of young men, gesturing; yellow kayaks behind	forest	day	mixed	medium	AMBER		
a4-073	a4/2015	Two lines face each other in the gravel clearing, men left and young men right; bald man in teal shakes each hand	camp	day	mixed	wide	CEREMONY	handshake lines	
a4-074	a4/2015	Handshake lines from another angle; man with a yellow scarf over his shoulder foreground	camp	day	mixed	wide	CEREMONY	handshake lines	
a4-075	a4/2015	Silver-haired man in a navy polo smiles as he shakes a young man's hand; man in a brown hat looks on	forest	day	mixed	close	CEREMONY	handshake lines	
a4-076	a4/2015	Older man in black cap and quilted vest smiles, hand on the shoulder of a young man in a blue tank top	forest	day	adults	close	GREEN	the young man is 20s per the description	
a4-077	a4/2015	Tanned man in a black tee with yellow logo crosses arms, smiling at camera	forest	day	adults	medium	GREEN		
a4-078	a4/2015	Two men wrestle in lake water, heavy splashing, desaturated	water	day	adults	medium	GREEN		
a4-079	a4/2015	Man in his 20s with a yellow headband sprints through shallow water, splashing	water	day	adults	medium	GREEN		
a4-080	a4/2015	Man in a colourful sun hat and rainbow trunks held by another man in the water; misty lake	water	day	adults	medium	GREEN		
a4-081	a4/2015	Large group of men and young men posed on the pebble beach, soft morning light, misty lake	beach	day	mixed	wide	AMBER	group photo	
a4-082	a4/2015	Same group cheers with raised arms	beach	day	mixed	wide	AMBER	group photo; faces small	
a4-083	a4/2015	Man in a black tee speaks to camera vlog-style; older man in a straw hat walks behind	forest	day	adults	close	GREEN		
a4-084	a4/2015	Group forms a large circle in the dirt clearing; two men from behind foreground; high angle	camp	day	mixed	wide	CEREMONY	opening/closing circle sequence (a4-084 to a4-087)	
a4-085	a4/2015	Over the shoulder: a row of men with arms linked facing a central circle; lake shore	camp	day	mixed	wide	CEREMONY	arms-linked circle	
a4-086	a4/2015	Two lines of men face each other in the dirt clearing; bearded man from a4-076 on the right	camp	day	mixed	medium	CEREMONY	facing lines	
a4-087	a4/2015	Close on young men in line, some shirtless, arms around each other, focused	camp	day	young-men	medium	CEREMONY	facing lines, faces visible	
a5-000	a5/2014	Large group photo on the beach in bright sun, everyone cheering arms up; lake and mountains	beach	day	mixed	wide	AMBER	group photo	
a5-001	a5/2014	Three older men in straw hat, camo hat and fedora laugh on the rocky beach	beach	day	adults	medium	GREEN		
a5-002	a5/2014	Pebble beach at sunrise: golden flare, mist rising off calm water, weathered posts, dark hillside	beach	day	none	wide	GREEN	sunrise; heavy flare	
a5-003	a5/2014	Two men on the sunrise beach: plaid shirt and bucket hat; black tee with a stack of white binders	beach	day	adults	medium	GREEN		
a5-004	a5/2014	Closer on the same two men, smiling at camera, backlit haze	beach	day	adults	close	GREEN		
a5-005	a5/2014	Dirt clearing: white truck and raised green-canopied platform; ~15 young men queue toward it	camp	day	young-men	wide	GREEN	faces small; verify	
a5-006	a5/2014	High angle over a vast blue lake and hazy mountains; man in camo tee and green bucket hat sits on the shore	beach	day	adults	wide	GREEN		
a5-007	a5/2014	Older man in a tan fedora in a lawn chair, arms spread wide, telling a story to a young person whose back is to camera	camp	day	mixed	medium	GREEN	young person seen from behind (orange bandana)	
a5-008	a5/2014	Young man in orange bandanas smiles at camera beside an older man in green tee and tan hat; poles behind	forest	day	mixed	medium	AMBER		
a5-009	a5/2014	Grey-haired man with a tall walking staff walks away down a grassy path toward a distant circle of ~20	forest	day	mixed	wide	GREEN	circle in the distance	
a5-010	a5/2014	Four men talk around a small fire area marked by a log: bandana, cap, grey vest, red shorts	fire	day	adults	medium	GREEN		
a5-011	a5/2014	Bird's-eye through branches: group on a rocky bank beside a clear shallow stream, bandanas	water	day	unclear	wide	GREEN		
a5-012	a5/2014	Man in grey tee watches young men around a person lying on the ground in red, a first-aid scenario	water	day	mixed	medium	AMBER	verify faces	
a5-013	a5/2014	Older man in a white cap leans both hands on a walking staff; red-haired bearded man in green vest behind; serious	forest	day	adults	close	GREEN		
a5-014	a5/2014	Cluttered campsite: crates, orange buckets, tarp, poles, tent; young man in a white headband in a chair looks to camera	camp	day	mixed	medium	AMBER		
a5-015	a5/2014	Man on the steps of a raised trailer under a green awning; two men from behind; man in yellow points	camp	day	adults	medium	GREEN		
a5-016	a5/2014	Man in green tee and white cap on the beach; grey RIB with twin outboards and two uniformed men	beach	day	adults	medium	GREEN	police or rescue boat visit	
a5-017	a5/2014	Man in orange gloves cuts a log with an orange chainsaw on the beach; young man on a log watches	beach	day	mixed	medium	AMBER	verify the watcher's face	
a5-018	a5/2014	Four men in their 40s-60s in camp chairs behind a log; campfire in a stone ring foreground	fire	day	adults	medium	GREEN		
a5-019	a5/2014	~8 young men (10-18) sit in a row on a long log listening to someone off-camera	camp	day	young-men	medium	AMBER		
a5-020	a5/2014	Eight young men on a log around a fire pit holding white plates	fire	day	young-men	medium	AMBER		
a5-021	a5/2014	Bearded man in glasses with a red bag over his shoulder points off-screen; campers on logs behind	camp	day	adults	medium	GREEN		
a5-022	a5/2014	Young men line up on metal stairs into a green canvas-covered truck; checkered food table left	kitchen	day	young-men	medium	GREEN	moving away toward the truck; verify	
a5-023	a5/2014	Two men in their 50s in camp chairs on a dirt path, one gesturing as he talks	camp	day	adults	medium	GREEN		
a5-024	a5/2014	Young man with long hair, beard, glasses, white headband and tank top holds a thin white staff; kitchen trailer behind	camp	day	young-men	medium	AMBER	may be an adult; verify	
a5-025	a5/2014	Man in blue cap and red scarf sits on the ground smiling; fire area and others behind	fire	day	adults	medium	GREEN		
a5-026	a5/2014	Older man in grey and camo shorts sits in a blue chair gesturing; young man in an orange tee stands behind him	camp	day	mixed	medium	AMBER		
a5-027	a5/2014	Wider: the same man leans back, legs crossed; the young man in orange beside him	camp	day	mixed	medium	AMBER	near-duplicate of a5-026	
a5-028	a5/2014	Man in green sun hat, glasses and denim jacket sits in a chair looking into the distance; water through trees	camp	day	adults	medium	GREEN		
a5-029	a5/2014	Five young men on a debarked log, three with hoods up, serious or tired	camp	day	young-men	medium	AMBER		
a5-030	a5/2014	Young man 10-12 in a grey GAP hoodie sits alone on a fallen log, looking aside; whiteboard behind	camp	day	young-men	medium	AMBER		
a5-031	a5/2014	Silhouetted evergreens frame water with a low sun's golden glare	water	dusk	none	wide	GREEN		
a5-032	a5/2014	Two men in their 30s talk in profile on a gravel path: grey hoodie; blue shirt and beads	camp	day	adults	medium	GREEN		
a5-033	a5/2014	Man in tan hiking shirt, sun hat, sunglasses and a sheathed sword at his belt looks into the distance	camp	day	adults	medium	GREEN		
a5-034	a5/2014	~15 young men and men cross a big gravel clearing in small groups, sun through the trees	camp	day	mixed	wide	GREEN		
a5-035	a5/2014	Four men in blue lawn chairs behind a log face camera; one holds a feathered staff; lake behind	beach	day	adults	wide	GREEN		
a5-036	a5/2014	Young men and two men stand in a circle on moss; man in a red shirt reads from a small red booklet	forest	day	mixed	medium	CEREMONY	circle with a reading; confirm	
a5-037	a5/2014	Person sits on a mossy bank beside a fast rocky stream, heavy backlight	water	day	unclear	medium	GREEN		
a5-038	a5/2014	Close: man in a grey vest holds a young person's hand, examining a finger, by the stream	water	day	mixed	close	GREEN	hands; verify no face	
a5-039	a5/2014	~8 young men sit on a rocky riverbank; man in a fedora and blue shirt teaches in front of them	water	day	mixed	wide	AMBER	verify faces	
a5-040	a5/2014	From behind: single file of young men hike up a fern-lined path into sunlit forest	forest	day	young-men	wide	GREEN	backs; strong walk-in frame	
a5-041	a5/2014	Young man in a blue tee crawls across floating logs in a clear shallow pool	water	day	young-men	medium	GREEN	verify face at distance	
a5-042	a5/2014	Man in a tan hat and red sunglasses waves and grins at camera by the river	water	day	adults	close	GREEN		
a5-043	a5/2014	Same man, medium, slight smile; young men on the riverbank behind	water	day	mixed	medium	GREEN	young men in background; verify	
a5-044	a5/2014	Young man ~18 in glasses and cap holds a big black hand crank set in the ground, looks to camera	camp	day	young-men	medium	AMBER		
a5-045	a5/2014	Teen in a white tee probes the earth with a long-handled tool; older man in a straw hat in a chair behind	camp	day	mixed	medium	AMBER		
a5-046	a5/2014	Older man in a straw hat with a thermos speaks to a young man ~12 in a plaid shirt, dappled shade	forest	day	mixed	medium	AMBER		
a5-047	a5/2014	Two men in tan hats: olive scout shirt; grey tee	forest	day	adults	medium	GREEN		
a5-048	a5/2014	Man in his 60s in a tan bucket hat relaxed in a green camp chair; SUV through the leaves	camp	day	adults	medium	GREEN		
a5-049	a5/2014	Young man with long hair and white headband stands on a mossy rock at the creek looking into camera; others behind	water	day	young-men	medium	AMBER		
a5-050	a5/2014	Low angle: young man in a green tee reaches for a black bucket hanging from a branch; others look up	forest	day	mixed	medium	AMBER	verify	
a5-051	a5/2014	Three young men in a sunny clearing: white bandana; shirtless with grey bandana and black staff; shirtless in red shorts	forest	day	young-men	medium	AMBER		
a5-052	a5/2014	Man in camo bucket hat, white tee over grey sleeves, holds a water bottle, serious	forest	day	adults	medium	GREEN		
a5-053	a5/2014	Man in black long-sleeve and wide hat gestures upward on the pebble beach; young men seated around; pilings	beach	day	mixed	wide	GREEN	faces small; verify	
a5-054	a5/2014	Three young men on a driftwood log on the beach: glasses and bottle; neckerchief; grey tee	beach	day	young-men	medium	AMBER		
a5-055	a5/2014	High angle: young men hold planks on grass in coloured tees; adult in a chair foreground	field	day	mixed	wide	GREEN	faces down	
a5-056	a5/2014	Young man in blue tee and white cap swings a mallet at a wedge in a log; man in red cap with a tool	camp	day	mixed	medium	AMBER		
a5-057	a5/2014	Two men in camp chairs on gravel: camo tee with cup; striped polo; log foreground	camp	day	adults	medium	GREEN		
a5-058	a5/2014	Twilight lake: mountain silhouettes, a low orange sun or moon behind trees, driftwood shore, distant figures	beach	dusk	unclear	wide	GREEN		
a5-059	a5/2014	Man in a straw hat hunches over a log campfire, flames and smoke; dark tarp structure behind	fire	day	adults	medium	GREEN		
a5-060	a5/2014	Wide: people of all ages sit in a circle on logs and blue chairs around a smoking fire pit	fire	day	mixed	wide	GREEN	circle: confirm not a ceremony	
a5-061	a5/2014	Six males from teens to adults in a line, arms around shoulders, smiling	camp	day	mixed	medium	AMBER		
a5-062	a5/2014	Seven adolescent young men on a log eating burgers and hot dogs; a football on the ground	camp	day	young-men	medium	AMBER		
a5-063	a5/2014	Three men on a log facing camera, relaxed; sun-drenched campsite	camp	day	adults	medium	GREEN		
a5-064	a5/2014	Young man in a striped shirt bends to roll a green sleeping mat; others organise gear near a white tarp; sunbeams	camp	day	young-men	wide	GREEN	bending, face down; verify	
a5-065	a5/2014	Under a translucent white tarp: people arrange sleeping bags around a massive trunk	camp	day	unclear	medium	GREEN		
a5-066	a5/2014	Forest campsite: young men pack backpacks and clear debris, moss and ferns, white tarp	camp	day	young-men	wide	GREEN	verify faces	
a5-067	a5/2014	From behind: young man in black kicks a soccer ball on a dusty gravel field; others watch	field	day	young-men	medium	GREEN	back	
a5-068	a5/2014	Man with goatee and glasses in a bright red cap smiles widely	forest	day	adults	close	GREEN		
a5-069	a5/2014	~20 of all ages in a loose circle on the dirt field, every arm raised high	field	day	mixed	wide	GREEN		
a5-070	a5/2014	Man in a blue tee walks toward camera; behind him a dense scrum kicks up a cloud of dust	field	day	mixed	wide	GREEN		
a5-071	a5/2014	The scrum fully engaged, a huge dust cloud around their legs	field	day	mixed	wide	GREEN		
a5-072	a5/2014	High angle: adolescents play a high-energy game in heavy dust	field	day	young-men	wide	GREEN	handheld shake	
a5-073	a5/2014	Hikers with big technical packs walk the rocky shoreline behind a massive driftwood log	beach	day	unclear	wide	GREEN		
a6-000	a6/2012	Close: man with black and red horizontal stripes and tribal face paint, intense gaze off-camera	forest	day	adults	close	GREEN	face paint; confirm context before use	
a6-001	a6/2012	Line of teens in a clearing; red-haired one centre in a green tee; canvas teepee behind	camp	day	young-men	medium	AMBER		
a6-002	a6/2012	Young man ~14, blue eyes, yellow headband, looks into the lens with a slight smile; very bright	forest	day	young-men	close	AMBER	overexposed	
a6-003	a6/2012	Two men in white polos and caps beside a cream canvas teepee; one holds a white disc	camp	day	adults	wide	GREEN		
a6-004	a6/2012	Older man with a full grey beard, green bucket hat, seed-bead necklace, warm smile	forest	day	adults	close	GREEN		
a6-005	a6/2012	Three men: tan fishing vest and hat; white shirt and cap; blue polo arms crossed; teepee behind	camp	day	adults	medium	GREEN		
a6-006	a6/2012	Two young men ~13 in yellow headbands, red hoodie and black jacket, smile at camera	forest	day	young-men	medium	AMBER		
a6-007	a6/2012	~12 teens sit on a massive fallen log with arms extended horizontally; yellow neckerchiefs	forest	day	young-men	wide	AMBER	group photo	
a6-008	a6/2012	High angle: four young men around a black clipboard held by a blond young man in a yellow armband	forest	day	young-men	medium	GREEN	looking down at the clipboard; verify	
a6-009	a6/2012	Mobile kitchen trailer with metal stairs, canvas awnings and a white banner; no people	camp	day	none	wide	GREEN		
a6-010	a6/2012	Wider: the field kitchen trailer with a yellow box truck behind, flat light	camp	day	none	wide	GREEN		
a6-011	a6/2012	Vertical: one tall canvas teepee, poles protruding, in a dirt clearing among huge evergreens	camp	day	none	wide	GREEN	vertical	
